Symbol	Description
JAI	Jpmorgan Asian Investement Trust Plc
JAM	Jpmorgan American Investment Trust Plc
JAPAN	FTSE All-World Index Japan
JCH	Jpmorgan Claverhouse Investment Trust Pl
JD	John David Group
JDG	Judges Scientific Plc
JDT	Jupiter Dividend & Growth Trust Plc
JDTC	Jupiter Dividend & Growth Trust Plc
JDTZ	Jupiter Dividend & Growth Trust Plc
JDW	Wetherspoon [ J.D.] Plc
JE	Just Eat
JEL	Jersey Electricity Plc
JEMI	Jpmorgan Global Emerging Markets Income
JEO	Jupiter European Opportunities Trust Plc
JESC	Jpmorgan Euro Small Co. Trust Plc
JETG	Jpmorgan European Investment Trust Plc
JETI	Jpmorgan European Investment Trust Plc
JFJ	Jpmorgan Japanese Investment Trust Plc
JGC	Jupiter Green Investment Trust Plc
JGCI	Jpmorgan Global Converti
JHD	James Halstead Plc
JHDA	James Halstead Plc
JIGC	Jpmorgan Income & Growth Investment Trus
JIGI	Jpmorgan Income & Growth Investment Trus
JIGU	Jpmorgan Income & Growth Investment Trus
JII	Jpmorgan Indian Investment Trust Plc
JIL	Juridica Investments Limited
JIM	Jarvis Securities Plc
JKX	Jkx Oil & Gas Plc
JLEN	John Laing Environmental
JLG	John Laing Group Plc
JLH	John Lewis of Hungerford Plc
JLIF	John Laing Infrastructure Fund Limited
JLP	Jubilee Platinum Plc
JLT	Jardine Lloyd Thompson Group Plc
JMAT	Johnson Matthey Plc
JMC	Jpmorgan Chinese Investment Trust Plc
JMF	Jpmorgan Mid Capital Investment Trust Pl
JMG	Jpmorgan Emerging Markets Investment Tru
JMI	Jpmorgan Smaller Companies Investment TR
JMIS	Jpmorgan Smaller Compani
JMO	Jpmorgan Overseas Investment Trust Plc
JNKE	SSGA SPDR ETFS Europe I Plc
JNKS	SSGA SPDR ETFS Europe I
JNY	Journey Group Plc
JOG	Jersey Oil and Gas Plc
JPB	Jpmorgan Brazil Investment Trust Plc
JPE	Jpmorgan Elect Plc
JPEC	Jpmorgan Elect Plc
JPEH	SSGA SPDR ETFS Europe I Plc
JPEI	Jpmorgan Elect Plc
JPEL	J.P. Morgan Private Equity Ld
JPEX	Source Markets Public Li
JPGB	ETFS Foreign Exchange Limited
JPHG	Amundi ETF
JPI	Jpmorgan Income & Capital Trust Plc
JPIU	Jpmorgan Income & Capital Trust Plc
JPIZ	Jpmorgan Income & Capital Trust Plc
JPJP	SSGA SPDR ETFS Europe I Plc
JPM	Jpmorgan Chase & Co
JPNL	Lyxor International Asse
JPNU	Lyxor International Asse
JPP3	ETFS Foreign Exchange Li
JPR	Johnston Press Plc
JPRL	Jupiter Energy Limited
JPS	Jpmorgan Japan Smaller Co Tst Plc
JPSL	Jpmorgan Senior Secured
JPSR	UBS ETF
JPSS	Jpmorgan Japan Smaller C
JPSZ	J.P. Morgan Private Equity Ld
JPX4	Multi Units France
JPXG	Multi Units France
JPXU	Multi Units France
JPXX	Multi Units France
JRP	Just Retirement Group Plc
JRS	Jpmorgan Russian Securities Plc
JSG	Johnson Service Group Plc
JSI	Jiasen International Hol
JUKG	Jupiter UK Growth Investment Trust Plc
JUP	Jupiter Fund Management Plc
JUS	Jupiter US Smaller Compa
JUSC	Jpmorgan US Smaller Co. Inv Tst Plc
JWNG	Jaywing Plc
JZCC	Jz Capital Partners Limi
JZCN	Jz Capital Partners Limited
JZCP	Jz Capital Partners Limited
JZCZ	Jz Capital Partners Limited
KAKU	Kakuzi Ld
KAY	Kings Arms Yard Vct Plc
KAZ	Kazakhmys Plc
KBE	Kimberly Enterprises N.V.
KBT	K3 Business Technology Group Plc
KCEL	Kcell Joint Stock Compan
KCOM	Kcom Group Plc
KCR	K&C REIT Plc
KDR	Karelian Diamond Resources Plc
KEFI	Kefi Minerals Plc
KEM	Kemin Resources Plc
KENV	Kennedy Ventures Plc
KGF	Kingfisher Plc
KGLD	Kolar Gold Limited
KGP	Kingspan Group Plc
KIBO	Kibo Mining Plc
KIE	Kier Group Plc
KIT	Keystone Investment Trust Plc
KKB	Jsc Kazkommertsbank
KLBT	Kalibrate Technologies P
KLN	Kellan Group [The] Plc
KLR	Keller Group Plc
KMG	Jsc Kazmunaigas Explorat
KMK	Kromek Group Plc
KMR	Kenmare Resources Plc
KNM	Konami Corporation
KNOS	Kainos Group Plc
KOD	Kodal Minerals Plc
KOOV	Koovs Plc
KRS	Keras Resources Plc
KRW	Lyxor International Asse
KRWL	Lyxor International Asse
KSK	Ksk Power Ventur Plc
KUBC	Kubera Cross-Border Fund Limited
KWE	Kennedy Wilson Real Esta
KWS	Keywords Studios Plc
KYGA	Kerry Group Plc
L100	Multi Units France
L250	Multi Units France
L6EW	Ossiam Lux
LAD	Ladbrokes Plc
LAD2	Ladbrokes Group Finance
LAGR	ETFS Commodity Securities Limited
LAKE	Lakehouse Plc
LALL	ETFS Commodity Securities Limited
LALU	ETFS Commodity Securities Limited
LAM	Lamprell Plc
LAND	Land Securities Group Plc
LAS	London & Associated Properties Plc
LAU3	ETFS Foreign Exchange Li
LAUD	ETFS Foreign Exchange Limited
LAUS	Multi Units Luxembourg
LAUU	Multi Units Luxembourg
LBG2	Lloyds Bank Plc
LBOW	Icg-Longbow Senior Secur
LBRT	ETFS Commodity Securities Limited
LBS	Leeds Building Society
LBUL	ETFS Commodity Securities Limited
LC53	Sga Societe Generale Acc
LC57	Sga Societe Generale Acc
LC64	Sga Societe Generale Acc
LCAD	ETFS Foreign Exchange Limited
LCAN	Multi Units Luxembourg
LCAU	Multi Units Luxembourg
LCFE	ETFS Commodity Securities Limited
LCG	London Capital Group Holdings Plc
LCHF	ETFS Foreign Exchange Limited
LCNP	ETFS Foreign Exchange Limited
LCOC	ETFS Commodity Securities Limited
LCOE	UBS Ag
LCOG	UBS Ag
LCOP	ETFS Commodity Securities Limited
LCOR	ETFS Commodity Securities Limited
LCPE	Ossiam Lux
LCRP	SSGA SPDR ETFS Europe I Plc
LCRW	Ossiam Lux
LCTO	ETFS Commodity Securities Limited
LDCU	Pimco Fixed Income Sourc
LDSG	Leeds Group Plc
LEAF	Leaf Clean Energy Company
LEF	Ludgate Environmental Fund Limited
LEG	Legendary Investments Plc
LEK	Lekoil Limited
LEMB	Multi Units France
LEMD	Lyxor International Asse
LEML	Lyxor International Asse
LEMV	Ossiam Lux
LEU3	ETFS Foreign Exchange Li
LEUR	ETFS Foreign Exchange Limited
LFAS	Multi Units France
LFI	London Finance & Investment Group Plc
LGAS	ETFS Commodity Securities Limited
LGB3	ETFS Foreign Exchange Li
LGB5	Sg Issuer
LGBP	ETFS Foreign Exchange Limited
LGCF	Source Markets Public Limited Company
LGCU	Source Markets Public Limited Company
LGEN	Legal & General Group Plc
LGLD	Lg Electronics Inc
LGO	Leni Gas & Oil Plc
LGRA	ETFS Commodity Securities Limited
LGT	Lighthouse Group Plc
LHEA	ETFS Commodity Securities Limited
LID	Lidco Group Plc
LIFE	Life Science Developments Limited
LIME	ETFS Commodity Securities Limited
LINP	ETFS Foreign Exchange Limited
LIO	Liontrust Asset Management Plc
LIV	Livermore Investments Group Limited
LIVN	Livanova Plc
LIX	FTSE Actuaries 350 Low Yield
LJP3	ETFS Foreign Exchange Li
LJP5	Sg Issuer
LKCS	Lucky Cement Limited
LKOD	Lukoil (Oao)
LKOH	Lukoil [Oao]
LKUU	Multi Units France
LKUW	Multi Units France
LLCT	ETFS Commodity Securities Limited
LLEA	ETFS Commodity Securities Limited
LLHO	ETFS Commodity Securities Limited
LLOY	Lloyds Banking Group Plc
LLPC	Lloyds Banking Group Plc
LLPD	Lloyds Banking Group Plc
LLPE	Lloyds Banking Group Plc
LLST	ETFS Commodity Securities Limited
LME	Limitless Earth Plc
LMI	Lonmin Plc
LMP	Londonmetric Property Pl
LMS	Lms Capital Plc
LND	Landore Resources Limited
LNGA	ETFS Commodity Securities Limited
LNIK	ETFS Commodity Securities Limited
LNOK	ETFS Foreign Exchange Limited
LNRG	ETFS Commodity Securities Limited
LNTA	Lenta Ltd
LNTR	Lenta Ltd
LOCG	Go Ucits ETF Solutions P
LOCL	Go Ucits ETF Solutions P
LOIL	ETFS Commodity Securities Limited
LOK	Lok'n Store Group Plc
LOOK	Lookers Plc
LOTS	Lotte Shopping Co. Ltd.
LOWE	SSGA SPDR ETFS Europe II
LOWV	SSGA SPDR ETFS Europe I
LPA	Lpa Group Plc
LPET	ETFS Commodity Securities Limited
LPLA	ETFS Commodity Securities Limited
LPMT	ETFS Commodity Securities Limited
LQDE	Ishares Plc
LQDG	Ishares Plc
LQDH	Ishares Plc
LRD	Laird Plc
LRE	Lancashire Holdings Limited
LRM	Lombard Risk Management Plc
LSE	London Stock Exchange Group Plc
LSE1	London Stock Exchange Gr
LSFT	ETFS Commodity Securities Limited
LSIC	Lifeline Scientific Inc
LSIL	ETFS Commodity Securities Limited
LSL	Lsl Property Services Plc
LSLI	London & ST Lawrence Investment Company
LSOB	ETFS Commodity Securities Limited
LSPU	Multi Units Luxembourg
LSPX	Multi Units Luxembourg
LSR	The Local Shopping REIT Plc
LSRG	Ojsc Lsr Group
LSUG	ETFS Commodity Securities Limited
LSYO	ETFS Commodity Securities Limited
LTAM	Ishares II Plc
LTG	Learning Technologies Gr
LTHM	Latham [James] Plc
LTHP	Latham [James] Plc
LTI	Lindsell Train Investment Trust Plc
LTIM	ETFS Commodity Securities Limited
LTML	Lyxor International Asse
LTMU	Lyxor International Asse
LTOD	Larsen and Toubro Limite
LUD5	ETFS Foreign Exchange Limited
LUK2	Go Ucits ETF Solutions P
LUMV	Ossiam Lux
LUSB	ETFS Foreign Exchange Li
LUSC	SSGA SPDR ETFS Europe I Plc
LUXU	Amundi ETF
LVD	Lavendon Group Plc
LVRT	Levrett Plc
LWB	Low & Bonar Plc
LWCG	Amundi ETF
LWDB	Law Debenture Corporation Plc
LWEA	ETFS Commodity Securities Limited
LWI	Lowland Investment Company Plc
LWMV	Ossiam Lux
LWRF	Lightwaverf Plc
LXB	Lxb Retail Properties Plc
LYX5	Lyxor Index Fund
LYXM	Lyxor Index Fund
LYXQ	Lyxor Index Fund
LYXS	Lyxor Index Fund
LYXV	Lyxor Index Fund
LZIC	ETFS Commodity Securities Limited
M0EB	FTSE Euromid Eurobloc
M0X	FTSE Euromid
M0XU	FTSE Euromid Ex UK
MAB	Mitchells & Butlers Plc
MAB1	Mortgage Advice Bureau (
MAC	Marechale Capital Plc
MACF	Macfarlane Group Plc
MAFL	Mineral & Financial Investment Ltd.
MAGI	SSGA SPDR ETFS Europe II
MAGP	Magnolia Petroleum Plc
MAI	Maintel Holdings Plc
MAIL	Mail.Ru Group Limited
MAJE	Majedie Investments Plc
MANX	Manx Telecom Plc
MARL	Mariana Resources Limited
MARS	Marston's Plc
MATD	Petro Matad Limited
MATW	Multi Units Luxembourg
MAV4	Maven Income & Growth Vc
MAVD	Magyar Telekom Telecommu
MAW	Maruwa Co. Ltd
MAYA	Mayair Group Plc
MBH	Michelmersh Brick Holdings Plc
MBSP	Manchester Building Society
MBT	Mobile Tornado Group Plc
MCAP	Retail Charity Bonds Plc
MCB	Mcbride Plc
MCC	Mercom Capital Plc
MCGN	Microgen Plc
MCIX	FTSE Mid 250 [Exit]
MCKS	Mckay Securities Plc
MCL	Morses Club Plc
MCLS	Mccoll's Retail Group Pl
MCO	Martinco Plc
MCON	Mincon Group Plc
MCP	Martin Currie Pacific Trust Plc
MCRO	Micro Focus International Plc
MCS	Mccarthy & Stone Plc
MCT	Middlefield Canadian Income Pcc
MCX	FTSE Mid 250
MCXI1X	FTSE 250 Daily Short Str
MCXI2X	FTSE 250 Daily Super Sho
MCXI3X	FTSE 250 Daily Ultra Sho
MCXL2X	FTSE 250 Daily Leveraged
MCXL3X	FTSE 250 Daily Super Lev
MCXL4X	FTSE 250 Daily Ultra Lev
MCXNUK	FTSE 250 Net Dividend Index
MCXNUKEU	FTSE 250 Net Tax EUR Ind
MDC	Mediclinic International Plc
MDMG	MD Medical Group Investm
MDZ	Mediazest Plc
MED	Medaphor Group Plc
MED1	FTSE Med 100
MEDI	Medilink-Global UK Limited
MEL	Mitsubishi Electric Corporation
MER	Mears Group Plc
MERC	Mercia Technologies Plc
MERL	Merlin Entertainments Pl
MES	Messaging International Plc
MEUG	Lyxor International Asse
MEUU	Lyxor International Asse
MEXI	Multi Units France
MEXL	Multi Units France
MF01	Societe Generale Effekte
MF04	Societe Generale Effekte
MF11	Societe Generale Effekte
MF29	Societe Generale Effekte
MF36	Societe Generale Effekte
MF37	Societe Generale Effekte
MF47	Societe Generale Effekte
MF60	Societe Generale Effekte
MF75	Societe Generale Effekte
MF76	Societe Generale Effekte
MFON	Ojsc Megafon
MFX	Manx Financial Group Plc
MGAM	Morgan Crucible Co Plc
MGGT	Meggitt Plc
MGHC	M & G High Income Investment Trust Plc
MGHI	M & G High Income Investment Trust Plc
MGHP	M & G High Income Investment Trust Plc
MGHU	M & G High Income Investment Trust Plc
MGHZ	M & G High Income Investment Trust Plc
MGII100	Macquarie 1000 Idx
MGNS	Morgan Sindall Group Plc
MGNT	Ojsc Magnit
MGR	Miton Group Plc
MGTL	Lyxor International Asse
MHDU	Source Markets Public Limited Company
MHDX	Source Markets Public Limited Company
MHID	Mahindra & Mahindra Limi
MHM	Marsh & Mclennan Cos. Inc
MHN	Menhaden Capital Plc
MHPC	Mhp S.A
MIBX	Lyxor International Asse
MIDD	Ishares Plc
MIDW	Midwich Group Plc
MIG	Mobeus Income & Growth 2 Vct Plc
MIG1	Maven Income & Growth Vc
MIG2	Maven Income and Growth
MIG3	Maven Income and Growth
MIG4	Mobeus Income & Growth 4
MIG5	Maven Income and Growth
MIG6	Maven Income and Growth
MIGO	Miton Global Opportunities Plc
MIL	Myanmar Investments Inte
MILW	Myanmar Investments Inte
MIN	Minoan Group Plc
MINC	Miton UK Microcap Trust Plc
MINI	Miton UK Microcap Trust
MINT	Pimco Fixed Income Source ETFS Plc
MINV	Ishares Vi Plc (The Comp
MIO	Minco Plc
MIRA	Mirada Plc
MIUSA	Macquarie USA Infrstructure Idx
MIVO	Amundi ETF
MIX	Mobeus Income & Growth Vct Plc
MKLW	Mucklow [A & J] Group Plc
MKS	Marks and Spencer Group Plc
MKT	Market Tech Holdings Lim
MLC	Millennium & Copthorne Hotels Plc
MLD	Mirland Development Corporation Plc
MLIN	Molins Plc
MLPD	Source Markets Public Li
MLPI	Go Ucits ETF Solutions P
MLPP	Source Markets Public Li
MLPQ	Source Markets Public Li
MLPS	Source Markets Public Li
MLPX	Go Ucits ETF Solutions P
MMC	Management Consulting Group Plc
MMH	Marshall Motor Holdings
MMK	Ojsc Magnitogorsk Iron &
MMP	Marwyn Management Partners Plc
MMX	Minds + Machines Group L
MN1X	FTSE Global 100 Index
MNC	Metminco Limited
MNDI	Mondi Plc
MNKS	Monks Investment Trust Plc
MNL	Manchester & London Investment Trust Plc
MNOD	Mmc Norilsk Nickel
MNP	Martin Currie Global Portfolio Trust Plc
MNZS	Menzies[John] Plc
MOAT	Market Vectors Ucits ETFS Plc
MOGP	Mountfield Group Plc
MOLD	Magyar Olaj-Es Gazipare
MONI	Monitise Plc
MONY	Moneysupermarket.Com Group Plc
MORT	Mortice Limited
MOS	Mobile Streams Plc
MOSB	Moss Bros Group Plc
MOTR	Motorpoint Group Plc
MPAP	Source Markets Public Li
MPAY	Mi-Pay Group Plc
MPCE	Source Markets Public Li
MPCX	Source Markets Public Li
MPE	M.P. Evans Group Plc
MPFE	Source Markets Public Li
MPI	Michael Page International Plc
MPM	Mporium Group Plc
MPO	Macau Property Opportunities Fund Limite
MRC	Mercantile Investment Trust [The] Plc
MRCH	Merchants Trust Plc
MRL	Marlowe Holdings Limited
MRO	Melrose Plc
MRS	Management Resource Solu
MRW	Morrison [Wm] Supermarkets Plc
MSED	Lyxor Index Fund
MSEU	Lyxor International Asse
MSEX	Lyxor International Asse
MSG	Milestone Group Plc
MSI	MS International Plc
MSLH	Marshalls Plc
MSMN	Mosman Oil and Gas Limit
MSYS	Microsaic Systems Plc
MTC	Mothercare Plc
MTE	Montanaro European Smaller C. Tst Plc
MTEC	Matchtech Group Plc
MTFB	Motif Bio Plc
MTH	Mithras Investment Trust Plc
MTIX	Multi Units France
MTL	Metals Exploration Plc
MTMY	Matomy Media Group Ltd.
MTO	Mitie Group Plc
MTPH	Midatech Pharma Plc
MTR	Metal Tiger Plc
MTRO	Metro Bank Plc
MTU	Montanaro UK Smaller Companies Investmen
MTVW	Mountview Estates Plc
MTW	Mattioli Woods Plc
MTXX	Multi Units France
MUBL	Mbl Group Plc
MUL	Mulberry Group Plc
MUR	Murgitroyd Group Plc
MUT	Murray Income Trust Plc
MV1X	FTSE Mv Exchanges Index
MVAU	Multi Units France
MVEU	Ishares Vi Plc (The Comp
MVI	Marwyn Value Investors Limited
MVOL	Ishares Vi Plc (The Comp
MVUS	Ishares Vi Plc (The Comp
MVUX	Multi Units France
MWE	Mti Wireless Edge Ltd.
MWG	Modern Water Plc
MWY	Mid-Wynd International Investment Trust
MXCP	Mxc Capital Plc
MXCT	Maxcyte Inc
MXEU	Source Markets Public Li
MXF	Medicx Fund Limited
MXFP	Source Markets Public Li
MXFS	Source Markets Public Limited Company
MXJP	Source Markets Public Limited Company
MXO	Mx Oil Plc
MXUS	Source Markets Public Limited Company
MXWO	Source Markets Public Limited Company
MXWS	Source Markets Public Li
MYI	Murray International Trust Plc
MYIB	Murray International Trust Plc
MYSL	Mysale Group Plc
MYSQ	Mysquar Limited
MYT	Mytrah Energy Limited
MYX	Mycelx Technologies Corporation
N098	Namibia Local Index
N099	Namibia Overall Index
N135	Namibia Chemicals Index
N175	Ftse/Jse Namibia Indust
N177	Namibia Africa Minning I
N272	Namibia Africa Genaral I
N30X	FTSE Norex 30 Index
N30XN	FTSE Nordic 30
N30XU	FTSE Nordic 30 Index (Us
N353	Namibia Beverages Index
N357	Namibia Africa Food Prod
N400	Source Markets Public Li
N453	Ftse/Namibian Overall In
N4US	Source Markets Public Li
N510	Namibia Basic Materials
N520	Namibia Africa Industria
N530	Namibia Consumer Goods I
N533	Namibia Africa Food&Drug
N537	Namibia Africa General R
N540	Ftse/Namibian Overall In
N550	Namibia Consumer Service
N580	Namibia Africa Financial
N835	Namibia Banks Index
N853	Namibia Africa Nonlife I
N857	Namibia Africa Life Insu
N863	Namibia Real Estate Inve
N867	Ftse/Namibian Overall In
N877	Namibia Africa Genaral F
NAH	Nahl Group Plc
NAIT	North American Income Trust [The] Plc
NAK	Nakama Group Plc
NANO	Nanoco Group Plc
NAR	Northamber Plc
NAS	North Atlantic Smaller Companies Investm
NASA	Nasstar Plc
NBB	Norman Broadbent Plc
NBDD	Nb Distressed Debt Investment Fund Limit
NBDG	Nb Distressed Debt Inves
NBDX	Nb Distressed Debt Inves
NBI	Northbridge Industrial Services Plc
NBLS	Nb Global Floating Rate Income Fund Limi
NBLU	Nb Global Floating Rate Income Fund Limi
NBNK	Nbnk Investments Plc
NBPE	Nb Private Equity Partners Limited
NBPZ	Nb Private Equity Partners Limited
NBS	Nationwide Building Society
NBSP	Newcastle Building Society
NCC	Ncc Group Plc
NCCL	Ncondezi Coal Company Limited
NCE	New City Energy Limited
NCON	Norcon Plc
NCSP	Public Joint Stock Compa
NCT	Northcote Energy Limited
NCYF	New City High Yield Fund Limited
NDKX	FTSE Denmark 20 Index
NEP	Neptune-Calculus Income and Growth Vct P
NEPI	New Europe Property Investments Plc
NESF	Nextenergy Solar Fund Li
NET	Netcall Plc
NETD	Netdimensions [Holdings] Limited
NEW	New World Oil and Gas Plc
NEX	National Express Group Plc
NFC	Next Fifteen Communications Group Plc
NFIX	FTSE Finland 25 Index
NG	NATIONAL GRID TRACO ord gbp0.10
NG1Q	National Grid Plc
NG3L	ETFS Commodity Securities Limited
NG3S	ETFS Commodity Securities Limited
NGAF	ETFS Commodity Securities Limited
NGAS	ETFS Commodity Securities Limited
NGL3	Sg Issuer
NGR	Nature Group Plc
NGSP	ETFS Commodity Securities Limited
NHY	Norsk Hydro A.S.A
NICK	ETFS Commodity Securities Limited
NICL	Nichols Plc
NII	New India Investment Trust Plc
NIPT	Premaitha Health Plc
NJXE	Nomura Next Funds Irelan
NJXU	Nomura Next Funds Irelan
NK4E	Ishares II Plc
NKTN	Nektan Plc
NLG	Arria Nlg Plc
NLGOV01	FTSE Netherlands Governm
NLMK	Ojsc Novolipetsk Steel
NMC	Nmc Health Plc
NMD	North Midland Construction Plc
NMG	Noricum Gold Limited
NMIX	FTSE Actuaries 350 [Exit]
NMIXNUK	FTSE 350 Ex Investment T
NMX	FTSE Actuaries 350
NMX0530	FTSE 350 Oil & Gas Produ
NMX0570	FTSE 350 Oil Equipment &
NMX1350	FTSE 350 Chemicals
NMX1730	FTSE 350 Forestry & Pape
NMX1750	FTSE 350 Industrial Meta
NMX1770	FTSE 350 Mining
NMX2350	FTSE 350 Construction &
NMX2710	FTSE 350 Aerospace & Def
NMX2720	FTSE 350 General Industr
NMX2730	FTSE 350 Electronic & El
NMX2750	FTSE 350 Industrial Engi
NMX2770	FTSE 350 Industrial Tran
NMX2790	FTSE 350 Support Service
NMX3350	FTSE 350 Automobiles & P
NMX3530	FTSE 350 Beverages
NMX3570	FTSE 350 Food Producers
NMX3720	FTSE 350 Household Goods
NMX3760	FTSE 350 Personal Goods
NMX3780	FTSE 350 Tobacco
NMX4530	FTSE 350 Health Care Equ
NMX4570	FTSE 350 Pharmaceuticals
NMX5330	FTSE 350 Food & Drug Ret
NMX5370	FTSE 350 General Retaile
NMX5550	FTSE 350 Media
NMX5750	FTSE 350 Travel & Leisur
NMX6530	FTSE 350 Fixed Line Tele
NMX6570	FTSE 350 Mobile Telecomm
NMX7530	FTSE 350 Electricity
NMX7570	FTSE 350 Gas Water & Mul
NMX8350	FTSE 350 Banks
NMX8530	FTSE 350 Nonlife Insuran
NMX8570	FTSE 350 Life Insurance
NMX8630	FTSE 350 Real Estate & I
NMX8670	FTSE 350 Real Estate Inv
NMX8770	FTSE 350 General Financi
NMX8980	FTSE 350 Equity Investme
NMX9530	FTSE 350 Software & Comp
NMX9570	FTSE 350 Technology Hard
NMXDEN	Ftse350Domexpntind
NOG	Nostrum Oil & Gas Plc
NOKP	ETFS Foreign Exchange Limited
NOP	Northern Petroleum Plc
NORD	Nord Gold N.V.
NORWAY30	FTSE Norway 30 Index
NORX	Multi Units France
NOVA	Nova Resources Limited
NPT	Netplay TV Plc
NRGG	Multi Units Luxembourg
NRGW	Multi Units Luxembourg
NRI	Northern Investors Company Plc
NRR	Newriver Retail Limited
NRRP	North River Resources Plc
NSA	Nimrod Sea Assets Limite
NSCI	Netscientific Plc
NSF	Non-Standard Finance Plc
NSHREACN	FTSE China N Share All C
NSI	New Star Investment Trust Plc
NSIX	FTSE Actuaries Fledgling [Exit]
NSWX	FTSE Sweden 30 Index
NSX	FTSE Actuaries Fledgling
NTA	Northacre Plc
NTBR	Northern Bear Plc
NTEA	Northern Electric Plc
NTG	Northgate Plc
NTLG	New Trend Lifestyle Group Plc
NTN	Northern 3 Vct Plc
NTOG	Nostra Terra Oil and Gas Company Plc
NTQ	Enteq Upstream Plc
NTV	Northern 2 Vct Plc
NUM	Numis Corporation Plc
NUOG	Nu-Oil and Gas Plc
NVA	Novae Group Plc
NVT	Northern Venture Trust Plc
NVTK	Oao Novatek
NWBD	National Westminster Bank Plc
NWF	Nwf Group Plc
NWR	New World Resources Plc
NWT	Newmark Security Plc
NXKE	Nomura Next Funds Irelan
NXKU	Nomura Next Funds Irelan
NXR	Norcros Plc
NXT	Next Plc
NYO	Nyota Minerals Ld
NZDP	ETFS Foreign Exchange Limited
NZGB	ETFS Foreign Exchange Limited
O006	Ishares Plc
O011	Ishares Plc
O012	Ishares Plc
O025	Ishares Plc
O026	Ishares Plc
O033	Ishares Plc
O034	Ishares Plc
O041	Ishares Plc
O061	Ishares Plc
O120	Ishares Plc
OAP3	Octopus Apollo Vct Plc
OAPD	Octopus Apollo Vct Plc
OBT	Obtala Resources Limited
OCDO	Ocado Group Plc
OCL	Oakley Capital Investments Limited
OCN	Ocean Wilsons [Holdings] Ld
OCT	Octagonal Plc
ODX	Omega Diagnostics Group Plc
OEC1	Octopus Eclipse Vct Plc
OEX	Oilex Ld
OGDC	Oil and Gas Development
OGN	Origin Enterprises Plc
OGZD	Oao Gazprom
OIG	Oryx International Growth Fund Ltd
OILB	ETFS Oil Securities Ld
OILD	UBS Ag
OILE	UBS Ag
OILL	UBS Ag
OILW	ETFS Oil Securities Ld
OKEY	O'Key Group S.A.
OLBP	ETFS Oil Securities Ld
OLWP	ETFS Oil Securities Ld
OMG	Omg Plc
OMI	Orosur Mining Inc
OMIP	One Media Ip Group Plc
OML	Old Mutual Plc
ONC	Oncimmune Holdings Plc
ONEV	Oneview Group Plc
ONL	On-Line Plc
ONZ	Onzima Ventures
OOA	Octopus Aim Vct Plc
OPG	Opg Power Ventures Plc
OPHR	Ophir Energy Plc
OPM	1Pm Plc
OPRA	Opera Investments Plc
OPTI	Optibiotix Health Plc
ORCH	Orchard Funding Group Pl
ORCP	Oracle Coalfields Plc
ORE	Orogen Gold Plc
ORM	Ormonde Mining Plc
OSB	Onesavings Bank Plc
OSB1	ETFS Oil Securities Limi
OSB2	ETFS Oil Securities Limi
OSB3	ETFS Oil Securities Limi
OSEC	Octopus Second Aim Vct Plc
OSI	Osirium Technologies Plc
OSU	Orsu Metals Corporation
OSW1	ETFS Oil Securities Limi
OSW2	ETFS Oil Securities Limi
OSW3	ETFS Oil Securities Limi
OTB	On The Beach Group Plc
OTC	Ortac Resources Limited
OTM	Ottoman Fund Limited [The]
OTMT	Orascom Telecom Media An
OTPD	Otp Bank Plc
OTT	Oxford Technology 3 Venture Capital Trus
OTV2	Octopus Titan Vct Plc
OUT	Outsourcery Plc
OVG	Ovoca Gold Plc
OXB	Oxford Biomedica Plc
OXF	Oxford Technology 4 Venture Capital Trus
OXIG	Oxford Instruments Plc
OXP	Oxford Pharmascience Group Plc
OXT	Oxford Technology Venture Capital Trust
P2P	P2P Global Investments P
PAA	Parallel Media Group Plc
PAC	Pacific Assets Trust Plc
PACL	Pacific Alliance China Land Limited
PADV	SSGA SPDR ETFS Europe I
PAF	Pan African Resources Plc
PAG	Paragon Group of Companies Plc
PAG1	Paragon Group of Compani
PAG2	Paragon Group of Compani
PAG3	Paragon Group of Compani
PAGR	ETFS Hedged Commodity Securities Limited
PAL	Equatorial Palm Oil Plc
PALL	ETFS Hedged Commodity Securities Limited
PANR	Pantheon Resources Plc
PAY	Paypoint Plc
PAYS	Paysafe Group Plc
PBRT	ETFS Hedged Commodity Securities Limited
PBUL	ETFS Hedged Commodity Securities Limited
PCA	Palace Capital Plc
PCF	Private & Commercial Finance Group Plc
PCFS	Polar Capital Global Fin
PCFT	Polar Capital Global Fin
PCGE	Pcg Entertainment Plc
PCGH	Polar Cap Glbl Health Gwth&Inc Tst Plc
PCOP	ETFS Hedged Commodity Securities Limited
PCRD	ETFS Hedged Commodity Securities Limited
PCT	Polar Capital Technology Trust Plc
PCTN	Picton Property Income Ld
PCTZ	Picton Zdp Limited
PDG	Pendragon Plc
PDL	Petra Diamonds Limited
PDZ	Prairie Mining Limited
PEBI	Port Erin Biopharma Investments Limited
PEG	Petards Group Plc
PEL	Paragon Entertainment Limited
PEN	Pennant International Group Plc
PENR	ETFS Hedged Commodity Securities Limited
PEQ	Private Equity Investor Plc
PET	Petrel Resources Plc
PETS	Pets At Home Group Plc
PEW	Premier Energy & Water Trust Plc
PEY	Princess Private Equity Holding Limited
PEZ	Pewt Securities 2020 Plc
PF16	Provident Financial Plc
PF17	Provident Financial Plc
PF21	Provident Financial Plc
PFAG	ETFS Hedged Commodity Securities Limited
PFAND01	FTSE Pfandbrief Total Pr
